algorithm,list_size,time,comparisons,spearman,classification_error
quick_sort,8,1.5974044799804688e-05,24,0.3915662650602409,5
heap_sort,8,1.52587890625e-05,28,0.3915662650602409,5
merge_sort,8,1.5974044799804688e-05,15,0.3915662650602409,5
corsort,8,0.001993894577026367,15,-0.4047619047619048,8
multizip_sort,8,9.799003601074219e-05,18,-0.4047619047619048,8
quick_sort,8,1.4066696166992188e-05,18,-0.4047619047619048,8
heap_sort,8,1.5020370483398438e-05,25,-0.4047619047619048,8
merge_sort,8,1.71661376953125e-05,16,-0.4047619047619048,8
corsort,8,0.002009868621826172,16,0.4047619047619048,6
multizip_sort,8,0.00019407272338867188,15,0.4047619047619048,6
quick_sort,8,1.52587890625e-05,15,0.4047619047619048,6
heap_sort,8,1.621246337890625e-05,27,0.4047619047619048,6
merge_sort,8,1.6927719116210938e-05,16,0.4047619047619048,6
corsort,8,0.001928091049194336,15,0.3333333333333334,7
multizip_sort,8,0.00010085105895996094,14,0.3333333333333334,7
quick_sort,8,1.3113021850585938e-05,14,0.3333333333333334,7
heap_sort,8,1.5020370483398438e-05,27,0.3333333333333334,7
merge_sort,8,1.6927719116210938e-05,15,0.3333333333333334,7
corsort,8,0.0019428730010986328,16,-0.07142857142857144,7
multizip_sort,8,9.489059448242188e-05,16,-0.07142857142857144,7
quick_sort,8,1.3828277587890625e-05,16,-0.07142857142857144,7
heap_sort,8,1.3828277587890625e-05,26,-0.07142857142857144,7
merge_sort,8,1.5735626220703125e-05,15,-0.07142857142857144,7
corsort,8,0.001856088638305664,15,0.2142857142857143,8
multizip_sort,8,9.703636169433594e-05,18,0.2142857142857143,8
quick_sort,8,1.2874603271484375e-05,18,0.2142857142857143,8
heap_sort,8,1.621246337890625e-05,26,0.2142857142857143,8
merge_sort,8,1.6927719116210938e-05,15,0.2142857142857143,8
corsort,8,0.0019540786743164062,16,0.0,6
multizip_sort,8,0.00010609626770019531,18,0.0,6
quick_sort,8,1.5735626220703125e-05,20,0.0,6
heap_sort,8,1.621246337890625e-05,28,0.0,6
merge_sort,8,1.6689300537109375e-05,17,0.0,6
corsort,8,0.0021059513092041016,16,0.4523809523809524,7
multizip_sort,8,9.965896606445312e-05,14,0.4523809523809524,7
quick_sort,8,1.2874603271484375e-05,14,0.4523809523809524,7
heap_sort,8,1.4781951904296875e-05,26,0.4523809523809524,7
merge_sort,8,1.621246337890625e-05,15,0.4523809523809524,7
corsort,8,0.0019316673278808594,16,-0.261904761904762,8
multizip_sort,8,9.274482727050781e-05,15,-0.261904761904762,8
quick_sort,8,1.1920928955078125e-05,15,-0.261904761904762,8
heap_sort,8,1.4781951904296875e-05,25,-0.261904761904762,8
merge_sort,8,1.5974044799804688e-05,17,-0.261904761904762,8
corsort,8,0.001956939697265625,16,0.11445783132530118,7
multizip_sort,8,0.00010395050048828125,16,0.11445783132530118,7
quick_sort,8,1.3113021850585938e-05,16,0.11445783132530118,7
heap_sort,8,1.4781951904296875e-05,24,0.11445783132530118,7
merge_sort,8,1.6927719116210938e-05,16,0.11445783132530118,7
corsort,8,0.0018529891967773438,15,-0.6190476190476191,7
multizip_sort,8,0.00014781951904296875,14,-0.6190476190476191,7
quick_sort,8,1.2874603271484375e-05,14,-0.6190476190476191,7
heap_sort,8,1.5020370483398438e-05,24,-0.6190476190476191,7
merge_sort,8,1.5974044799804688e-05,15,-0.6190476190476191,7
corsort,8,0.001859903335571289,15,0.6666666666666669,5
multizip_sort,8,9.608268737792969e-05,18,0.6666666666666669,5
quick_sort,8,1.3828277587890625e-05,18,0.6666666666666669,5
heap_sort,8,1.5735626220703125e-05,28,0.6666666666666669,5
merge_sort,8,1.621246337890625e-05,15,0.6666666666666669,5
corsort,8,0.0019521713256835938,16,-0.3132530120481927,7
multizip_sort,8,9.584426879882812e-05,14,-0.3132530120481927,7
quick_sort,8,1.2636184692382812e-05,15,-0.3132530120481927,7
heap_sort,8,1.3113021850585938e-05,21,-0.3132530120481927,7
merge_sort,8,1.5974044799804688e-05,16,-0.3132530120481927,7
corsort,8,0.0018589496612548828,15,0.6190476190476191,5
multizip_sort,8,0.0001010894775390625,18,0.6190476190476191,5
quick_sort,8,1.621246337890625e-05,18,0.6190476190476191,5
heap_sort,8,1.5020370483398438e-05,26,0.6190476190476191,5
merge_sort,8,1.5020370483398438e-05,14,0.6190476190476191,5
corsort,8,0.0019419193267822266,16,0.0,7
multizip_sort,8,9.679794311523438e-05,14,0.0,7
quick_sort,8,1.3113021850585938e-05,14,0.0,7
heap_sort,8,1.5020370483398438e-05,26,0.0,7
merge_sort,8,1.71661376953125e-05,16,0.0,7
corsort,8,0.0018548965454101562,15,0.14285714285714288,7
multizip_sort,8,9.608268737792969e-05,24,0.14285714285714288,7
quick_sort,8,1.1920928955078125e-05,24,0.14285714285714288,7
heap_sort,8,1.4066696166992188e-05,24,0.14285714285714288,7
merge_sort,8,1.5020370483398438e-05,14,0.14285714285714288,7
corsort,8,0.0018839836120605469,15,-0.3313253012048193,6
multizip_sort,8,9.965896606445312e-05,15,-0.3313253012048193,6
quick_sort,8,1.2159347534179688e-05,16,-0.3313253012048193,6
heap_sort,8,1.5020370483398438e-05,26,-0.3313253012048193,6
merge_sort,8,2.0265579223632812e-05,16,-0.3313253012048193,6
corsort,8,0.0019512176513671875,16,-0.04761904761904763,5
multizip_sort,8,0.00010800361633300781,22,-0.04761904761904763,5
quick_sort,8,1.3113021850585938e-05,22,-0.04761904761904763,5
heap_sort,8,1.5020370483398438e-05,26,-0.04761904761904763,5
merge_sort,8,1.6689300537109375e-05,17,-0.04761904761904763,5
corsort,8,0.0019299983978271484,15,0.15662650602409636,7
multizip_sort,8,9.608268737792969e-05,18,0.15662650602409636,7
quick_sort,8,1.4781951904296875e-05,20,0.15662650602409636,7
heap_sort,8,1.5735626220703125e-05,27,0.15662650602409636,7
merge_sort,8,1.5974044799804688e-05,15,0.15662650602409636,7
corsort,8,0.002154111862182617,16,0.11904761904761905,7
multizip_sort,8,0.00013065338134765625,14,0.11904761904761905,7
quick_sort,8,1.2874603271484375e-05,14,0.11904761904761905,7
heap_sort,8,1.5735626220703125e-05,26,0.11904761904761905,7
merge_sort,8,1.5974044799804688e-05,15,0.11904761904761905,7
corsort,8,0.002026081085205078,16,-0.3902439024390244,7
multizip_sort,8,0.00010013580322265625,16,-0.3902439024390244,7
quick_sort,8,1.2874603271484375e-05,16,-0.3902439024390244,7
heap_sort,8,5.984306335449219e-05,26,-0.3902439024390244,7
merge_sort,8,1.5974044799804688e-05,16,-0.3902439024390244,7
corsort,8,0.0018830299377441406,15,-0.6904761904761906,8
multizip_sort,8,9.489059448242188e-05,17,-0.6904761904761906,8
quick_sort,8,1.0013580322265625e-05,17,-0.6904761904761906,8
heap_sort,8,1.5020370483398438e-05,26,-0.6904761904761906,8
merge_sort,8,1.5974044799804688e-05,17,-0.6904761904761906,8
corsort,8,0.001850128173828125,15,0.3012048192771084,4
multizip_sort,8,9.489059448242188e-05,17,0.3012048192771084,4
quick_sort,8,1.5020370483398438e-05,18,0.3012048192771084,4
heap_sort,8,1.5020370483398438e-05,25,0.3012048192771084,4
merge_sort,8,1.6927719116210938e-05,17,0.3012048192771084,4
corsort,8,0.0018901824951171875,15,-0.14285714285714288,6
